datetime,temperature,humidity,co2_concentration,average_co2_last_hour,average_temperature_last_hour,average_humidity_last_hour,current_value_minus_average_last_hour_co2,current_value_minus_average_last_hour_temperature,current_value_minus_average_last_hour_humidity,current_value_minus_last_15_min_co2,current_value_minus_last_15_min_temperature,current_value_minus_last_15_min_humidity,room_number,hour_of_the_day,day_number_of_the_week,day_of_year,floor_area,occupancy
2015-02-02 14:19:00,23.7,26.272,749.2,749.2,23.7,26.272,0.0,0.0,0.0,0.0,0.0,0.0,17,14,1,33,20,1
2015-02-02 14:19:59,23.718,26.29,760.4,760.4,23.718,26.29,0.0,0.0,0.0,11.199999999999932,0.018000000000000682,0.018000000000000682,17,14,1,33,20,1
2015-02-02 14:21:00,23.73,26.23,769.666666666667,769.666666666667,23.73,26.23,0.0,0.0,0.0,9.266666666666993,0.012000000000000455,-0.05999999999999872,17,14,1,33,20,1
2015-02-02 14:22:00,23.7225,26.125,774.75,774.75,23.7225,26.125,0.0,0.0,0.0,5.08333333333303,-0.007500000000000284,-0.10500000000000043,17,14,1,33,20,1
2015-02-02 14:23:00,23.754,26.2,779.0,763.5041666666667,23.717624999999998,26.22925,15.49583333333328,0.036375000000003155,-0.02925000000000111,4.25,0.031500000000001194,0.07499999999999929,17,14,1,33,20,1
2015-02-02 14:23:59,23.76,26.26,790.0,770.9541666666667,23.731125,26.21125,19.04583333333335,0.02887500000000287,0.04875000000000185,11.0,0.006000000000000227,0.060000000000002274,17,14,1,33,20,1
2015-02-02 14:25:00,23.73,26.29,798.0,778.3541666666667,23.741625000000003,26.20375,19.645833333333258,-0.011625000000002217,0.08624999999999972,8.0,-0.030000000000001137,0.029999999999997584,17,14,1,33,20,1
2015-02-02 14:25:59,23.754,26.29,797.0,785.4375,23.741625000000003,26.21875,11.5625,0.012374999999998693,0.07124999999999915,-1.0,0.02400000000000091,0.0,17,14,1,33,20,1
2015-02-02 14:26:59,23.754,26.35,803.2,791.0,23.749499999999998,26.259999999999998,12.200000000000045,0.004500000000003723,0.09000000000000341,6.2000000000000455,0.0,0.060000000000002274,17,14,1,33,20,1
2015-02-02 14:28:00,23.736,26.39,809.0,797.0500000000001,23.7495,26.297500000000003,11.949999999999932,-0.013500000000000512,0.09249999999999758,5.7999999999999545,-0.018000000000000682,0.03999999999999915,17,14,1,33,20,1
2015-02-02 14:29:00,23.745,26.445,815.25,801.8000000000001,23.7435,26.330000000000002,13.449999999999932,0.0015000000000000568,0.11499999999999844,6.25,0.009000000000000341,0.054999999999999716,17,14,1,33,20,1
